timestamp,symbol,market_cap_millions,previous_close,open,current_price,bid,ask,volume,day_high,day_low,change_pct,change_from_open_pct,meets_criteria
2025-06-04 02:27:42,ACMR,0.00,22.75,22.97,23.35,0.00,0.00,720510,23.38,22.61,2.64,1.65,Y
2025-06-04 02:27:42,AAOI,0.00,15.52,15.90,16.76,0.00,0.00,3519119.0,17.21,15.47,8.02,5.41,Y
2025-06-04 02:27:42,ACGL,0.00,96.27,95.82,95.82,0.00,0.00,1394246.0,96.79,94.05,-0.47,0.00,N
2025-06-04 02:27:42,ADP,0.00,325.80,324.46,326.53,0.00,0.00,2155909.0,326.80,322.98,0.22,0.64,N
2025-06-04 02:27:42,ADMA,0.00,20.43,20.37,20.46,0.00,0.00,2653183.0,20.62,20.13,0.15,0.44,N
2025-06-04 02:27:42,AACBU,0.00,10.30,10.50,10.31,0.00,0.00,2442,10.50,10.28,0.10,-1.81,N
2025-06-04 02:27:42,AACG,0.00,0.89,0.88,0.86,0.00,0.00,10874,0.89,0.86,-2.81,-1.82,N
2025-06-04 02:27:42,ABNB,0.00,129.62,129.50,132.90,0.00,0.00,5808798.0,133.49,128.95,2.53,2.63,Y
2025-06-04 02:27:42,ACTU,0.00,10.59,10.90,9.75,0.00,0.00,88663,10.90,9.75,-7.93,-10.55,N
2025-06-04 02:27:42,ADD,0.00,0.94,0.91,0.94,0.00,0.00,235053,0.96,0.89,-0.05,3.04,N
2025-06-04 02:27:42,AEHR,0.00,9.66,9.76,10.24,0.00,0.00,444587,10.27,9.45,6.00,4.92,Y
2025-06-04 02:27:42,ACON,0.00,6.66,6.67,6.45,0.00,0.00,28007,6.80,6.45,-3.08,-3.30,N
2025-06-04 02:27:42,ADIL,0.00,0.70,0.67,0.66,0.00,0.00,373541,0.69,0.65,-5.33,-2.40,N
2025-06-04 02:27:42,ADBG,0.00,15.37,15.28,16.06,0.00,0.00,5504,16.06,15.28,4.49,5.10,N
2025-06-04 02:27:42,AARD,0.00,11.13,11.21,11.66,0.00,0.00,36701,12.02,11.21,4.76,4.01,N
2025-06-04 02:27:42,ACLS,0.00,56.46,56.76,59.27,0.00,0.00,487264,59.39,56.20,4.98,4.42,Y
2025-06-04 02:27:42,ABVE,0.00,1.06,1.11,1.15,0.00,0.00,80698,1.16,1.07,8.49,3.60,N
2025-06-04 02:27:42,ACDC,0.00,8.21,8.19,8.20,0.00,0.00,1116866.0,8.36,7.89,-0.12,0.12,N
2025-06-04 02:27:42,AAPD,0.00,17.90,17.84,17.77,0.00,0.00,275830,17.96,17.72,-0.73,-0.39,N
2025-06-04 02:27:42,ABLV,0.00,1.24,1.24,1.23,0.00,0.00,5379,1.27,1.21,-0.81,-0.40,N
2025-06-04 02:27:42,ADTN,0.00,8.44,8.46,8.30,0.00,0.00,861852,8.56,8.24,-1.66,-1.89,N
2025-06-04 02:27:42,ABPWW,0.00,0.02,0.02,0.02,0.00,0.00,7573,0.02,0.02,0.59,0.59,N
2025-06-04 02:27:42,ACIU,0.00,1.65,1.63,1.65,0.00,0.00,103947,1.68,1.60,0.30,1.23,N
2025-06-04 02:27:42,ACWX,0.00,60.13,59.73,59.87,0.00,0.00,725536,59.92,59.55,-0.43,0.23,N
2025-06-04 02:27:42,ABLLL,0.00,25.50,25.48,25.41,0.00,0.00,6962,25.50,25.38,-0.35,-0.27,N
2025-06-04 02:27:42,ADNWW,0.00,0.01,0.01,0.01,0.00,0.00,155793,0.01,0.01,-2.70,-4.00,N
2025-06-04 02:27:42,ACOG,0.00,9.74,9.96,9.79,0.00,0.00,105860,10.35,9.51,0.51,-1.71,N
2025-06-04 02:27:42,ABL,0.00,7.61,7.60,7.64,0.00,0.00,517668,7.72,7.46,0.39,0.53,N
2025-06-04 02:27:42,ACNB,0.00,41.03,40.82,41.58,0.00,0.00,13081,41.95,40.82,1.34,1.86,N
2025-06-04 02:27:42,ACIW,0.00,46.12,46.12,46.79,0.00,0.00,626930,47.15,45.92,1.45,1.45,N
2025-06-04 02:27:42,ACIC,0.00,11.28,11.31,11.96,0.00,0.00,623637,12.01,11.31,6.03,5.75,Y
2025-06-04 02:27:42,ACB,0.00,5.21,5.26,5.37,0.00,0.00,466876,5.41,5.17,3.07,2.09,Y
2025-06-04 02:27:42,AAME,0.00,1.74,1.73,1.71,0.00,0.00,3265,1.73,1.69,-1.72,-0.87,N
2025-06-04 02:27:42,ACONW,0.00,0.03,0.04,0.03,0.00,0.00,1901,0.04,0.03,-0.33,-13.43,N
2025-06-04 02:27:42,ABSI,0.00,2.73,2.73,2.78,0.00,0.00,1561926.0,2.80,2.67,1.83,1.83,N
2025-06-04 02:27:42,ADSK,0.00,295.26,295.12,299.52,0.00,0.00,1525738.0,299.72,294.48,1.44,1.49,N
2025-06-04 02:27:42,ABEO,0.00,6.28,6.25,6.27,0.00,0.00,907832,6.47,6.15,-0.16,0.32,N
2025-06-04 02:27:42,ADAP,0.00,0.28,0.28,0.29,0.00,0.00,458494,0.29,0.28,1.37,3.14,N
2025-06-04 02:27:42,ABCL,0.00,2.14,2.12,2.31,0.00,0.00,5006273.0,2.34,2.09,7.94,8.96,Y
2025-06-04 02:27:42,AACB,0.00,10.09,10.09,10.09,0.00,0.00,4312,10.09,10.09,0.00,0.00,N
2025-06-04 02:27:42,ABP,0.00,0.22,0.21,0.21,0.00,0.00,558390,0.22,0.20,-2.68,-0.23,N
2025-06-04 02:27:42,AAVM,0.00,26.40,26.18,26.25,0.00,0.00,10150,26.25,26.15,-0.58,0.27,N
2025-06-04 02:27:42,ACNT,0.00,13.01,13.01,12.97,0.00,0.00,61542,13.25,12.97,-0.31,-0.31,N
2025-06-04 02:27:42,ACXP,0.00,0.38,0.38,0.35,0.00,0.00,426103,0.38,0.34,-7.74,-9.11,N
2025-06-04 02:27:42,ADN,0.00,2.50,2.53,2.59,0.00,0.00,7130,2.74,2.53,3.60,2.37,N
2025-06-04 02:27:42,ABVEW,0.00,0.05,0.05,0.05,0.00,0.00,17102,0.05,0.05,11.84,-5.38,N
2025-06-04 02:27:42,ADEA,0.00,12.67,12.67,13.07,0.00,0.00,491550,13.17,12.67,3.16,3.16,Y
2025-06-04 02:27:42,ADGM,0.00,1.13,1.23,1.14,0.00,0.00,28226,1.23,1.09,0.88,-7.32,N
2025-06-04 02:27:42,ACTG,0.00,3.71,3.73,3.77,0.00,0.00,193466,3.82,3.71,1.62,1.07,N
2025-06-04 02:27:42,AAPG,0.00,25.22,27.18,27.75,0.00,0.00,19232,27.89,26.82,10.03,2.10,N
2025-06-04 02:27:42,ABIG,0.00,28.66,28.77,28.83,0.00,0.00,2623,28.85,28.77,0.61,0.23,N
2025-06-04 02:27:42,ADUS,0.00,111.20,111.09,112.68,0.00,0.00,166708,112.73,110.16,1.33,1.43,N
